1.000000000000000000e+00,8.129510505648638793e-03,-3.674703807758761005e-03,9.518449150116966573e-01,1.755535764574042441e-03,4.639954922372933888e-02
1.000000000000000000e+00,4.718307153156216585e-03,-2.908247613582498267e-03,9.229442642771037431e-01,1.920331182644027671e-03,7.513540454025208204e-02
1.000000000000000000e+00,1.045018898284234094e-03,2.292008478626156396e-03,8.133471296749229529e-01,7.324771218012148151e-03,1.793280991070648478e-01
1.000000000000000000e+00,1.994333612780597141e-03,8.100573429755592025e-03,9.024704917975601148e-01,5.776337865930774446e-03,9.175317033650916276e-02
1.000000000000000000e+00,1.205688978992120602e-02,3.757026455320352371e-02,7.072838740174347549e-01,2.014542075265769120e-03,2.907015839072996100e-01
1.000000000000000000e+00,5.170437019673997103e-02,9.816880770171186599e-02,5.596405735536900128e-01,6.827377139687957524e-04,4.396766887323413364e-01
1.000000000000000000e+00,4.606013845049949929e-02,9.431886556194293836e-02,5.729744950588263608e-01,7.176118580515831796e-04,4.263078930831221136e-01
1.000000000000000000e+00,3.951761717732645701e-02,9.369627472154910819e-02,6.461866147191628329e-01,1.047023452331636564e-03,3.527663618285055147e-01
1.000000000000000000e+00,4.569631905366426661e-02,1.114901921429665571e-01,7.755295077794507330e-01,2.667703117081120408e-03,2.218027891034680954e-01
1.000000000000000000e+00,1.658017526347203008e-01,1.656262674586866934e-01,6.849316194015584447e-01,5.163944643244373738e-03,3.099044359551969552e-01
1.000000000000000000e+00,5.829842401032888505e-02,1.289997595348691961e-01,7.980521484878370098e-01,4.260435290000814078e-03,1.976874162221621822e-01
1.000000000000000000e+00,7.000800054646025283e-02,1.438702135532326509e-01,8.026672593920625154e-01,4.585670565597279105e-03,1.927470700423400962e-01
1.000000000000000000e+00,8.053085348482713623e-02,1.550856584296405882e-01,7.994702057630354020e-01,4.792807231551342827e-03,1.957369870054130878e-01
1.000000000000000000e+00,8.687453066839917470e-02,1.652051053685776594e-01,7.783399916486136716e-01,5.121179226649946216e-03,2.165388291247364871e-01
1.000000000000000000e+00,8.693456257458809233e-02,1.653057650972997727e-01,7.781068720932854399e-01,5.124409752003006649e-03,2.167687181547113540e-01
1.000000000000000000e+00,3.087439136304068743e-01,2.278160766882739163e-01,8.007357150309131200e-01,3.412322309906077981e-03,1.958519626591807838e-01
1.000000000000000000e+00,1.090541259358505238e-01,1.955658385157560131e-01,7.054008484080142027e-01,5.738990602018594067e-03,2.888601609899672518e-01
